code,name,label
FE,"748 Air Services","748 Air Services (FE)"
AQ,"9 Air","9 Air (AQ)"
S5,"Abakan Air","Abakan Air (S5)"
GB,"ABX Air","ABX Air (GB)"
AN,"Advanced Air","Advanced Air (AN)"
A3,"Aegean Airlines","Aegean Airlines (A3)"
EI,"Aer Lingus","Aer Lingus (EI)"
N2,"Aero","Aero (N2)"
8G,"Aero Dili","Aero Dili (8G)"
RF,"Aero K","Aero K (RF)"
M0,"Aero Mongolia","Aero Mongolia (M0)"
KA,"Aero Nomad","Aero Nomad (KA)"
SU,"Aeroflot","Aeroflot (SU)"
XZ,"Aeroitalia","Aeroitalia (XZ)"
AR,"Aerolineas Argentinas","Aerolineas Argentinas (AR)"
3S,"AeroLogic","AeroLogic (3S)"
AM,"Aeromexico","Aeromexico (AM)"
5D,"Aeromexico Connect","Aeromexico Connect (5D)"
6G,"Aeroregional","Aeroregional (6G)"
KW,"Aerostan","Aerostan (KW)"
F5,"Aerotranscargo","Aerotranscargo (F5)"
V5,"Aerovias DAP","Aerovias DAP (V5)"
ZV,"Aerus","Aerus (ZV)"
AW,"Africa World Airlines","Africa World Airlines (AW)"
XU,"African Express Airways","African Express Airways (XU)"
J7,"Afrijet","Afrijet (J7)"
8U,"Afriqiyah Airways","Afriqiyah Airways (8U)"
ZB,"Air Albania","Air Albania (ZB)"
AH,"Air Algerie","Air Algerie (AH)"
6I,"Air Alsie","Air Alsie (6I)"
6K,"Air Anka","Air Anka (6K)"
G9,"Air Arabia","Air Arabia (G9)"
KC,"Air Astana","Air Astana (KC)"
2A,"Air Astra","Air Astra (2A)"
CC,"Air Atlanta Icelandic","Air Atlanta Icelandic (CC)"
UU,"Air Austral","Air Austral (UU)"
BT,"Air Baltic","Air Baltic (BT)"
BP,"Air Botswana","Air Botswana (BP)"
2J,"Air Burkina","Air Burkina (2J)"
BX,"Air Busan","Air Busan (BX)"
SM,"Air Cairo","Air Cairo (SM)"
TY,"Air Caledonie","Air Caledonie (TY)"
K6,"Air Cambodia","Air Cambodia (K6)"
AC,"Air Canada","Air Canada (AC)"
RV,"Air Canada Rouge","Air Canada Rouge (RV)"
TX,"Air Caraibes","Air Caraibes (TX)"
2Q,"Air Cargo Carriers","Air Cargo Carriers (2Q)"
GI,"Air Central","Air Central (GI)"
Y2,"Air Century","Air Century (Y2)"
9H,"Air Changan","Air Changan (9H)"
3C,"Air Chathams","Air Chathams (3C)"
CA,"Air China","Air China (CA)"
XK,"Air Corsica","Air Corsica (XK)"
HF,"Air Côte d'Ivoire","Air Côte d'Ivoire (HF)"
YN,"Air Creebec","Air Creebec (YN)"
RM,"Air Dilijans","Air Dilijans (RM)"
HD,"Air Do","Air Do (HD)"
EN,"Air Dolomiti","Air Dolomiti (EN)"
UX,"Air Europa","Air Europa (UX)"
AF,"Air France","Air France (AF)"
GL,"Air Greenland","Air Greenland (GL)"
